60 60 60 60 60; 5; 50.0129; 21.4016
70 70 60; 14; 50.0129; 21.7621
50 50 50 50 50 50 50 50 50 50 50 50 50 50 50; 17; 50.0129; 19.3127
70 70 70 70 70; 29; 50.0129; 21.0628
70 70 70 70 70; 9; 50.0129; 21.2568
60 60 60 60 60 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70; 24; 49.9961; 17.8377
70 70 70 70 70 80 80 80 80 80 70; 29; 49.9961; 19.034
50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 80 80 60; 18; 49.9961; 18.2358
70 70 70 70 70 70 70 70 70 70 60; 9; 49.9961; 19.3339
70 70 70 70 70 80 80 80 80 80 80 80 80 80 80 80 70; 51; 49.9961; 17.6005
70 70 60 70 70 70 70 70 70 70 70 70 50; 34; 49.9961; 18.6238
70 70 70 70 70 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80; 64; 49.9961; 16.2975
70 70 70 70 70 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50; 61; 49.9961; 16.5659
50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 80 80 60 60 60 60 60 60 60 60 60 50; 24; 49.9961; 16.7168
50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 80 80 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60; 33; 49.9961; 15.2698
70 70 70 70 70 80 80 80 80 80 80 80 80 80 80 80 70 60 60 60 60 60 60 60 60 50; 51; 49.9961; 16.3273
70 70 70 70 70 80 80 80 80 80 80 80 80 80 80 80 70 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 30; 53; 49.9961; 13.9393
70 70 70 70 70 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 40 40 40 40 40 40 40 40 40 40 30; 61; 49.9961; 15.5246
60 60 60 60 60 70 70 60; 16; 49.9961; 19.7501
60 60 60 60 60 60 60 60 45; 6; 50.0129; 20.4092
80 80 80 80 80; 23; 50.0129; 20.9514
60 60 60 60 60 70 70 70 70 70; 16; 49.9961; 19.5451
70 70 70 70 70 70 70 70 70 70 70 70 70 70 70; 24; 50.0129; 18.9117
80 80 80 80 80 80 80 80 80 80; 14; 50.0129; 19.7756
50 50 50 50 50 50 50 50 50 50 50 50 50; 39; 50.0129; 19.5714
60 60 60 60 60 60 60 60 45 70 70 70 70 70 70 70 70 70; 6; 49.9961; 18.2512
80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 70; 51; 49.9961; 17.6687
80 80 80 80 80 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50; 61; 49.9961; 15.7179
